args =  Namespace(dataset='comb', split='dense', repeat=1, test=False, optruns=100, path='results/', name='jacobi+comb', detach=False, savemodel=False, power=False, cheby=False, legendre=False, bern=False, jacobi=True, sole=False, fixalpha=False, multilayer=False, resmultilayer=False)
0.2500, 1.2000, alpha 2.0, lr 0.0500/0.0010/0.0050, wd 0.0000/0.0001/0.0005, loss 9.6858538377
1.2500, 1.1000, alpha 2.0, lr 0.0500/0.0010/0.0050, wd 0.0000/0.0001/0.0005, loss 18.4889189243
0.9000, 1.6500, alpha 2.0, lr 0.0500/0.0010/0.0050, wd 0.0000/0.0001/0.0005, loss 24.9813412762
-0.7000, -0.0500, alpha 2.0, lr 0.0500/0.0010/0.0050, wd 0.0001/0.0001/0.0000, loss 0.4677598736
-0.4000, 1.7500, alpha 2.0, lr 0.0500/0.0010/0.0050, wd 0.0001/0.0001/0.0000, loss 6.9232929239
-0.4500, 0.9500, alpha 2.0, lr 0.0500/0.0100/0.0050, wd 0.0000/0.0001/0.0010, loss 1.2878114258
-1.0000, 0.7500, alpha 2.0, lr 0.0500/0.0010/0.0050, wd 0.0000/0.0001/0.0005, loss 0.2867140810
-1.0000, 0.8000, alpha 2.0, lr 0.0500/0.0010/0.0050, wd 0.0000/0.0001/0.0005, loss 0.2867459404
-1.0000, 1.2500, alpha 2.0, lr 0.0500/0.0010/0.0050, wd 0.0000/0.0001/0.0005, loss 0.2867211480
-1.0000, 1.3000, alpha 2.0, lr 0.0500/0.0010/0.0050, wd 0.0000/0.0001/0.0005, loss 0.2867122878
-1.0000, 0.8000, alpha 2.0, lr 0.0500/0.0010/0.0050, wd 0.0000/0.0001/0.0005, loss 0.2877963860
-1.0000, 1.3000, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.2867148245
-1.0000, 1.3000, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.2867350962
-1.0000, 1.2500, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.2867221773
-1.0000, 1.2500, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.2867234493
-0.7000, 1.3000, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.4234058338
-0.6500, 1.3000, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.5262544395
-0.9000, 1.3000, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.2990461578
-1.0000, 1.5000, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.2867328549
-1.0000, 1.5000, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.2867127712
-0.7500, 1.5500, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.4855471248
-0.5500, 1.8000, alpha 1.0, lr 0.0050/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 1.3736418495
-0.7500, 1.7000, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.5725457560
-0.9000, 1.4000, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.2995845647
-0.6500, 1.8500, alpha 0.5, lr 0.0500/0.0100/0.0050, wd 0.0010/0.0005/0.0001, loss 4.6589467192
0.5500, 1.8500, alpha 1.5, lr 0.0500/0.0100/0.0050, wd 0.0010/0.0001/0.0001, loss 14.7081798542
0.6500, 1.5500, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 15.1939165235
-1.0000, 1.4500, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.2867505398
-0.9500, 1.5500, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.2953522963
-0.8500, 1.2000, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.3033944130
-0.8000, 1.0500, alpha 1.5, lr 0.0050/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.3019797759
-0.8000, 1.2500, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0010/0.0001/0.0001, loss 0.3159412045
1.9500, 1.6500, alpha 1.0, lr 0.0500/0.0010/0.0010, wd 0.0010/0.0010/0.0001, loss 49.0912504864
-0.9500, 1.4000, alpha 1.5, lr 0.0500/0.0010/0.0050, wd 0.0005/0.0001/0.0010, loss 0.2911846112
1.5500, 1.4500, alpha 1.0, lr 0.0500/0.0010/0.0010, wd 0.0010/0.0010/0.0001, loss 37.8206135845
