args =  Namespace(dataset='low', split='dense', repeat=1, test=False, optruns=100, path='results/', name='legendre+low', detach=False, savemodel=False, power=False, cheby=False, legendre=True, bern=False, jacobi=False, sole=False, fixalpha=False, multilayer=False, resmultilayer=False)
0.0000, 0.0000, alpha 2.0, lr 0.0500/0.0050/0.0010, wd 0.0001/0.0005/0.0010, loss 15.9084257507
0.0000, 0.0000, alpha 2.0, lr 0.0500/0.0500/0.0500, wd 0.0005/0.0005/0.0001, loss 0.5156548073
0.0000, 0.0000, alpha 2.0, lr 0.0500/0.0050/0.0010, wd 0.0001/0.0005/0.0010, loss 13.3303360993
0.0000, 0.0000, alpha 1.5, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0617452652
0.0000, 0.0000, alpha 1.5, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0543881331
0.0000, 0.0000, alpha 1.5, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0001/0.0000, loss 0.0673208900
0.0000, 0.0000, alpha 1.5, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0617452652
0.0000, 0.0000, alpha 1.5, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0609136457
0.0000, 0.0000, alpha 1.5, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0548786340
0.0000, 0.0000, alpha 1.5, lr 0.0100/0.0050/0.0500, wd 0.0005/0.0010/0.0000, loss 0.0799637134
0.0000, 0.0000, alpha 1.5, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0762616551
0.0000, 0.0000, alpha 1.5, lr 0.0100/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0587147829
0.0000, 0.0000, alpha 1.5, lr 0.0050/0.0500/0.0500, wd 0.0000/0.0001/0.0000, loss 0.7366564390
0.0000, 0.0000, alpha 1.0, lr 0.0100/0.0050/0.0100, wd 0.0005/0.0005/0.0010, loss 1.3192573599
0.0000, 0.0000, alpha 1.0, lr 0.0100/0.0500/0.0100, wd 0.0000/0.0001/0.0010, loss 1.1878202185
0.0000, 0.0000, alpha 1.5, lr 0.0100/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0625028373
0.0000, 0.0000, alpha 1.5, lr 0.0100/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0762616551
0.0000, 0.0000, alpha 1.5, lr 0.0100/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0491988805
0.0000, 0.0000, alpha 1.5, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0811756011
0.0000, 0.0000, alpha 1.5, lr 0.0100/0.0050/0.0500, wd 0.0005/0.0005/0.0001, loss 0.0487352095
0.0000, 0.0000, alpha 1.5, lr 0.0100/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0699129978
0.0000, 0.0000, alpha 1.5, lr 0.0100/0.0050/0.0500, wd 0.0010/0.0000/0.0001, loss 0.0727143502
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0050, wd 0.0001/0.0005/0.0001, loss 2.3877649941
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0534041496
0.0000, 0.0000, alpha 1.5, lr 0.0010/0.0100/0.0500, wd 0.0005/0.0005/0.0001, loss 0.1101101966
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0449628189
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0548560421
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0584713649
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0648805013
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0458055448
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0010, wd 0.0010/0.0000/0.0005, loss 20.9209458256
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0648805013
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0010, wd 0.0010/0.0000/0.0005, loss 15.8568316865
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0547671505
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0449628189
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0535221791
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0525293437
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0449628189
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0581950344
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0573863370
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0050, wd 0.0010/0.0000/0.0005, loss 2.5919073334
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0458504393
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0573863370
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0612694122
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0526727837
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0570152706
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0449628189
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0621740644
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0570152706
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0648805013
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0487481145
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0500, wd 0.0010/0.0000/0.0005, loss 0.0517518888
0.0000, 0.0000, alpha 2.0, lr 0.0100/0.0010/0.0100, wd 0.0010/0.0000/0.0005, loss 0.6583215756
best params  {'lr1': 0.01, 'lr2': 0.001, 'lr3': 0.05, 'wd1': 0.001, 'wd2': 0.0, 'wd3': 0.0005, 'alpha': 2.0}
best valf1  0.044962818881031125
