args =  Namespace(dataset='band', split='dense', repeat=1, test=False, optruns=100, path='results/', name='jacobi+band', detach=False, savemodel=False, power=False, cheby=False, legendre=False, bern=False, jacobi=True, sole=False, fixalpha=False, multilayer=False, resmultilayer=False)
-0.8500, -0.9500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 3.3301788963
-0.4500, 0.7000, alpha 1.5, lr 0.0500/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0167034638
-0.8500, 0.6500, alpha 1.5, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0156231309
-0.9000, -0.0500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0005/0.0001, loss 0.0326505847
-0.3000, 0.4500, alpha 2.0, lr 0.0050/0.0010/0.0100, wd 0.0001/0.0010/0.0000, loss 0.0767622431
-0.2500, 0.4000, alpha 2.0, lr 0.0010/0.0010/0.0100, wd 0.0000/0.0005/0.0001, loss 0.1146260195
-1.0000, 1.2500, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0005/0.0010, loss 0.0156153339
-1.0000, 0.9500, alpha 2.0, lr 0.0010/0.0100/0.0500, wd 0.0005/0.0005/0.0010, loss 0.0156153513
-0.7000, 1.3500, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0005/0.0010, loss 0.0218589240
-0.9000, 1.2500, alpha 2.0, lr 0.0010/0.0100/0.0500, wd 0.0005/0.0005/0.0010, loss 0.0159370916
-0.7500, 0.9000, alpha 2.0, lr 0.0010/0.0100/0.0500, wd 0.0005/0.0000/0.0010, loss 0.0166243377
-0.7000, 1.3000, alpha 2.0, lr 0.0010/0.0100/0.0500, wd 0.0005/0.0005/0.0010, loss 0.0201324976
-0.5000, 1.0000, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0010/0.0005/0.0010, loss 0.0289333790
-1.0000, 1.1500, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0156152437
-0.5000, 0.8500, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0010/0.0005/0.0010, loss 0.0172531913
1.9000, 1.2000, alpha 2.0, lr 0.0010/0.0500/0.0500, wd 0.0005/0.0005/0.0000, loss 12.4289792734
-1.0000, 1.1500, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0156152441
-1.0000, 1.1000, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0156152436
-0.9500, 1.1500, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0156152798
-0.9000, 1.1500, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0001/0.0000, loss 0.0156351497
-0.8500, 1.1500, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0156526300
-0.8000, 1.7500, alpha 2.0, lr 0.0100/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0244517240
-0.9000, 1.9000, alpha 2.0, lr 0.0500/0.0050/0.0500, wd 0.0005/0.0000/0.0000, loss 0.0172372518
-0.7500, 1.5000, alpha 2.0, lr 0.0100/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0211039126
-0.6000, 1.4500, alpha 0.5, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0005/0.0000, loss 0.2114063888
-1.0000, 1.3000, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0156152433
-0.9500, 1.6500, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0005/0.0000, loss 0.0157383595
