args =  Namespace(dataset='low', split='dense', repeat=1, test=False, optruns=100, path='results/', name='jacobi+low', detach=False, savemodel=False, power=False, cheby=False, legendre=False, bern=False, jacobi=True, sole=False, fixalpha=False, multilayer=False, resmultilayer=False)
-0.5500, 0.1000, alpha 1.0, lr 0.0050/0.0050/0.0500, wd 0.0000/0.0005/0.0010, loss 0.0380916180
-0.3500, 0.4500, alpha 1.0, lr 0.0010/0.0500/0.0050, wd 0.0001/0.0005/0.0001, loss 1.5862737841
-0.9000, 0.7000, alpha 1.5, lr 0.0010/0.0010/0.0500, wd 0.0001/0.0010/0.0010, loss 0.0136047216
-0.9000, 0.5000, alpha 1.5, lr 0.0010/0.0500/0.0050, wd 0.0001/0.0010/0.0001, loss 5.1187229455
-0.9000, 0.6500, alpha 1.5, lr 0.0100/0.0010/0.0100, wd 0.0000/0.0000/0.0001, loss 0.9371276319
-1.0000, 0.7500, alpha 1.5, lr 0.0010/0.0010/0.0500, wd 0.0001/0.0010/0.0010, loss 0.0002503668
-0.7500, 1.1000, alpha 1.5, lr 0.0010/0.0010/0.0500, wd 0.0001/0.0010/0.0010, loss 0.0121382007
-0.4500, 0.7000, alpha 1.5, lr 0.0100/0.0010/0.0100, wd 0.0000/0.0000/0.0010, loss 1.0842150086
-1.0000, 1.1500, alpha 1.5, lr 0.0010/0.0010/0.0500, wd 0.0001/0.0010/0.0010, loss 0.0002497636
-1.0000, 1.1000, alpha 1.5, lr 0.0010/0.0010/0.0500, wd 0.0001/0.0010/0.0010, loss 0.0002497995
-0.7500, 1.2000, alpha 1.5, lr 0.0010/0.0010/0.0500, wd 0.0001/0.0010/0.0000, loss 0.0150006625
1.6500, 1.0500, alpha 1.5, lr 0.0010/0.0010/0.0010, wd 0.0001/0.0010/0.0005, loss 25.3998344016
-1.0000, 1.6000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0002495919
1.4500, 1.1000, alpha 1.5, lr 0.0010/0.0010/0.0010, wd 0.0001/0.0010/0.0000, loss 21.2816024315
0.4000, 1.6000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 1.0132570227
-1.0000, 1.6000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0002495993
-0.7000, 1.3500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0214963582
-1.0000, 1.9500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0002495853
-1.0000, 2.0000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0002498002
-1.0000, 2.0000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0002496058
-0.6000, 2.0000, alpha 2.0, lr 0.0500/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.1401389883
-0.6000, 2.0000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0005, loss 0.1272844307
-0.8500, 1.7500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0005, loss 0.0144463459
1.0000, 1.8000, alpha 2.0, lr 0.0050/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 2.4950688281
-0.8500, 1.7500, alpha 2.0, lr 0.0050/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0188429802
-0.9000, 1.6000, alpha 2.0, lr 0.0010/0.0010/0.0100, wd 0.0005/0.0001/0.0010, loss 1.3991805831
-1.0000, 1.4500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0002496023
-1.0000, 1.5500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0002496674
-0.7500, 1.4500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0244603735
-0.9000, 1.3500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0044189298
-0.7000, 1.5000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0314344873
-0.7000, 1.6000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0489226741
0.7000, 1.8500, alpha 2.0, lr 0.0500/0.0010/0.0500, wd 0.0005/0.0001/0.0000, loss 1.8702102846
-0.8000, 1.6500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0195878632
-0.9500, 1.6500, alpha 2.0, lr 0.0010/0.0100/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0500101536
-1.0000, 1.2500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0002496273
-1.0000, 1.2500, alpha 2.0, lr 0.0010/0.0100/0.0050, wd 0.0010/0.0001/0.0010, loss 0.0185898979
-1.0000, 1.3000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0002496196
-0.8000, 1.4000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0158547562
-0.8000, 1.9000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0313526070
-0.9000, 1.9000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0116931652
-0.9500, 1.5000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0016929977
-0.9000, 1.5000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0112491310
-0.5500, 0.9000, alpha 2.0, lr 0.0010/0.0010/0.0010, wd 0.0005/0.0001/0.0010, loss 43.5917081165
-0.6500, 1.2500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0001, loss 0.0334137498
-1.0000, 1.3000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0002496202
-0.5500, 1.2500, alpha 2.0, lr 0.0010/0.0010/0.0010, wd 0.0005/0.0001/0.0001, loss 49.1925658321
-0.9500, 1.3000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0012785765
-0.8500, 1.7000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0159680120
-0.9500, 1.4000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0012951234
-1.0000, 1.0000, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 0.0002496908
-0.8000, 1.0000, alpha 2.0, lr 0.0500/0.0010/0.0100, wd 0.0005/0.0001/0.0010, loss 0.9276054001
-1.0000, 1.5500, alpha 2.0, lr 0.0500/0.0010/0.0100, wd 0.0010/0.0001/0.0010, loss 0.0006965198
2.0000, 1.5500, alpha 2.0, lr 0.0010/0.0010/0.0500, wd 0.0005/0.0001/0.0010, loss 4.9262207603
best params  {'lr1': 0.001, 'lr2': 0.001, 'lr3': 0.05, 'wd1': 0.0005, 'wd2': 0.0001, 'wd3': 0.001, 'alpha': 2.0, 'a': -1.0, 'b': 1.9500000000000002}
best valf1  0.00024958530946605606
