args =  Namespace(dataset='high', split='dense', repeat=1, test=False, optruns=100, path='results/', name='legendre+high', detach=False, savemodel=False, power=False, cheby=False, legendre=True, bern=False, jacobi=False, sole=False, fixalpha=False, multilayer=False, resmultilayer=False)
0.0000, 0.0000, alpha 1.0, lr 0.0100/0.0050/0.0100, wd 0.0000/0.0005/0.0000, loss 0.1035249423
0.0000, 0.0000, alpha 1.5, lr 0.0010/0.0100/0.0500, wd 0.0005/0.0000/0.0000, loss 0.0129116011
0.0000, 0.0000, alpha 1.0, lr 0.0100/0.0050/0.0100, wd 0.0005/0.0005/0.0000, loss 0.1024605321
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0010/0.0001/0.0000, loss 0.0068353247
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0001/0.0000, loss 0.0064765689
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0500/0.0500, wd 0.0010/0.0001/0.0010, loss 0.0075577998
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0001/0.0000, loss 0.0068353247
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0001/0.0000, loss 0.0066343725
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0001/0.0000, loss 0.0062358975
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0050, wd 0.0001/0.0001/0.0000, loss 0.6362054447
0.0000, 0.0000, alpha 0.5, lr 0.0010/0.0010/0.0500, wd 0.0001/0.0001/0.0001, loss 0.1680390130
0.0000, 0.0000, alpha 1.5, lr 0.0010/0.0010/0.0050, wd 0.0001/0.0001/0.0001, loss 0.8489452114
0.0000, 0.0000, alpha 1.5, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0010/0.0000, loss 0.0135526747
0.0000, 0.0000, alpha 2.0, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0000/0.0005, loss 0.0174928410
